1.36166e-07 5.14066e-27  -3.85384e-27 0.00000e+00 
2.72331e-07 1.15512e-26  -1.02656e-26 0.00000e+00 
4.08497e-07 2.05107e-26  -1.92252e-26 0.00000e+00 
5.44663e-07 3.20273e-26  -3.07418e-26 0.00000e+00 
6.80828e-07 4.60971e-26  -4.48117e-26 0.00000e+00 
8.16994e-07 6.26838e-26  -6.13987e-26 0.00000e+00 
9.53159e-07 8.17889e-26  -8.05039e-26 0.00000e+00 
1.08933e-06 1.03447e-25  -1.02162e-25 0.00000e+00 
1.22549e-06 1.27659e-25  -1.26373e-25 0.00000e+00 
1.36166e-06 1.54424e-25  -1.53138e-25 0.00000e+00 
1.49782e-06 1.83742e-25  -1.82457e-25 0.00000e+00 
1.63399e-06 2.15616e-25  -2.14331e-25 0.00000e+00 
1.77015e-06 2.50046e-25  -2.48761e-25 0.00000e+00 
1.90632e-06 2.87006e-25  -2.85722e-25 0.00000e+00 
2.04248e-06 3.26480e-25  -3.25195e-25 0.00000e+00 
2.17865e-06 3.68520e-25  -3.67233e-25 0.00000e+00 
2.31482e-06 4.13134e-25  -4.11848e-25 0.00000e+00 
2.45098e-06 4.60295e-25  -4.59010e-25 0.00000e+00 
2.58715e-06 5.10018e-25  -5.08732e-25 0.00000e+00 
2.72331e-06 5.62229e-25  -5.60944e-25 0.00000e+00 
2.85948e-06 6.16830e-25  -6.15544e-25 0.00000e+00 
2.99564e-06 6.73926e-25  -6.72641e-25 0.00000e+00 
3.13181e-06 7.33600e-25  -7.32315e-25 0.00000e+00 
3.26798e-06 7.95830e-25  -7.94544e-25 0.00000e+00 
3.40414e-06 8.60615e-25  -8.59330e-25 0.00000e+00 
3.54031e-06 9.27955e-25  -9.26670e-25 0.00000e+00 
3.67647e-06 9.97849e-25  -9.96564e-25 0.00000e+00 
3.81264e-06 1.07030e-24  -1.06901e-24 0.00000e+00 
3.94880e-06 1.14531e-24  -1.14402e-24 0.00000e+00 
4.08497e-06 1.22287e-24  -1.22158e-24 0.00000e+00 
4.22113e-06 1.30297e-24  -1.30169e-24 0.00000e+00 
4.35730e-06 1.38562e-24  -1.38434e-24 0.00000e+00 
4.49347e-06 1.47082e-24  -1.46954e-24 0.00000e+00 
4.62963e-06 1.55856e-24  -1.55728e-24 0.00000e+00 
4.76580e-06 1.64884e-24  -1.64756e-24 0.00000e+00 
4.90196e-06 1.74166e-24  -1.74038e-24 0.00000e+00 
5.03813e-06 1.83704e-24  -1.83575e-24 0.00000e+00 
5.17429e-06 1.93496e-24  -1.93367e-24 0.00000e+00 
5.31046e-06 2.03542e-24  -2.03414e-24 0.00000e+00 
5.44663e-06 2.13833e-24  -2.13704e-24 0.00000e+00 
5.58279e-06 2.24374e-24  -2.24245e-24 0.00000e+00 
5.71896e-06 2.35177e-24  -2.35047e-24 0.00000e+00 
5.85512e-06 2.46241e-24  -2.46111e-24 0.00000e+00 
5.99129e-06 2.57571e-24  -2.57441e-24 0.00000e+00 
6.12745e-06 2.69175e-24  -2.69044e-24 0.00000e+00 
6.26362e-06 2.81050e-24  -2.80919e-24 0.00000e+00 
6.39978e-06 2.93194e-24  -2.93063e-24 0.00000e+00 
6.53595e-06 3.05544e-24  -3.05416e-24 0.00000e+00 
6.67212e-06 3.18083e-24  -3.17952e-24 0.00000e+00 
6.80828e-06 3.30875e-24  -3.30745e-24 0.00000e+00 
6.94445e-06 3.43939e-24  -3.43809e-24 0.00000e+00 
7.08061e-06 3.57272e-24  -3.57142e-24 0.00000e+00 
7.21678e-06 3.70875e-24  -3.70745e-24 0.00000e+00 
7.35294e-06 3.84746e-24  -3.84616e-24 0.00000e+00 
7.48911e-06 3.98883e-24  -3.98753e-24 0.00000e+00 
7.62528e-06 4.13271e-24  -4.13143e-24 0.00000e+00 
7.76144e-06 4.27883e-24  -4.27754e-24 0.00000e+00 
7.89761e-06 4.42733e-24  -4.42603e-24 0.00000e+00 
8.03377e-06 4.57844e-24  -4.57714e-24 0.00000e+00 
8.16994e-06 4.73218e-24  -4.73087e-24 0.00000e+00 
8.30610e-06 4.88860e-24  -4.88729e-24 0.00000e+00 
8.44227e-06 5.04775e-24  -5.04644e-24 0.00000e+00 
8.57843e-06 5.20964e-24  -5.20833e-24 0.00000e+00 
8.71460e-06 5.37406e-24  -5.37277e-24 0.00000e+00 
8.85077e-06 5.54065e-24  -5.53936e-24 0.00000e+00 
8.98693e-06 5.70947e-24  -5.70818e-24 0.00000e+00 
9.12310e-06 5.88071e-24  -5.87939e-24 0.00000e+00 
9.25926e-06 6.05459e-24  -6.05327e-24 0.00000e+00 
9.39543e-06 6.23130e-24  -6.22997e-24 0.00000e+00 
9.53159e-06 6.41085e-24  -6.40953e-24 0.00000e+00 
9.66776e-06 6.59324e-24  -6.59192e-24 0.00000e+00 
9.80393e-06 6.77823e-24  -6.77694e-24 0.00000e+00 
9.94009e-06 6.96558e-24  -6.96429e-24 0.00000e+00 
1.00763e-05 7.15512e-24  -7.15384e-24 0.00000e+00 
1.02124e-05 7.34663e-24  -7.34531e-24 0.00000e+00 
1.03486e-05 7.54060e-24  -7.53926e-24 0.00000e+00 
1.04848e-05 7.73746e-24  -7.73613e-24 0.00000e+00 
1.06209e-05 7.93725e-24  -7.93592e-24 0.00000e+00 
1.07571e-05 8.13992e-24  -8.13860e-24 0.00000e+00 
1.08933e-05 8.34529e-24  -8.34399e-24 0.00000e+00 
1.10294e-05 8.55300e-24  -8.55171e-24 0.00000e+00 
1.11656e-05 8.76280e-24  -8.76150e-24 0.00000e+00 
1.13017e-05 8.97485e-24  -8.97354e-24 0.00000e+00 
1.14379e-05 9.18946e-24  -9.18812e-24 0.00000e+00 
1.15741e-05 9.40662e-24  -9.40531e-24 0.00000e+00 
1.17102e-05 9.62619e-24  -9.62488e-24 0.00000e+00 
1.18464e-05 9.84832e-24  -9.84701e-24 0.00000e+00 
1.19826e-05 1.00731e-23  -1.00718e-23 0.00000e+00 
1.21187e-05 1.03006e-23  -1.02993e-23 0.00000e+00 
1.22549e-05 1.05308e-23  -1.05294e-23 0.00000e+00 
1.23911e-05 1.07637e-23  -1.07624e-23 0.00000e+00 
1.25272e-05 1.09994e-23  -1.09980e-23 0.00000e+00 
1.26634e-05 1.12376e-23  -1.12363e-23 0.00000e+00 
1.27996e-05 1.14785e-23  -1.14772e-23 0.00000e+00 
1.29357e-05 1.17222e-23  -1.17209e-23 0.00000e+00 
1.30719e-05 1.19683e-23  -1.19670e-23 0.00000e+00 
1.32081e-05 1.22164e-23  -1.22151e-23 0.00000e+00 
1.33442e-05 1.24666e-23  -1.24653e-23 0.00000e+00 
1.34804e-05 1.27193e-23  -1.27179e-23 0.00000e+00 
1.36166e-05 1.29743e-23  -1.29730e-23 0.00000e+00 
1.37527e-05 1.32319e-23  -1.32306e-23 0.00000e+00 
1.38889e-05 1.34921e-23  -1.34907e-23 0.00000e+00 
1.40251e-05 1.37549e-23  -1.37536e-23 0.00000e+00 
1.41612e-05 1.40206e-23  -1.40193e-23 0.00000e+00 
1.42974e-05 1.42891e-23  -1.42878e-23 0.00000e+00 
1.44336e-05 1.45605e-23  -1.45591e-23 0.00000e+00 
1.45697e-05 1.48344e-23  -1.48331e-23 0.00000e+00 
1.47059e-05 1.51108e-23  -1.51095e-23 0.00000e+00 
1.48421e-05 1.53897e-23  -1.53883e-23 0.00000e+00 
1.49782e-05 1.56710e-23  -1.56697e-23 0.00000e+00 
1.51144e-05 1.59546e-23  -1.59533e-23 0.00000e+00 
1.52506e-05 1.62404e-23  -1.62391e-23 0.00000e+00 
1.53867e-05 1.65286e-23  -1.65272e-23 0.00000e+00 
1.55229e-05 1.68195e-23  -1.68182e-23 0.00000e+00 
1.56590e-05 1.71129e-23  -1.71116e-23 0.00000e+00 
1.57952e-05 1.74090e-23  -1.74077e-23 0.00000e+00 
1.59314e-05 1.77077e-23  -1.77064e-23 0.00000e+00 
1.60675e-05 1.80089e-23  -1.80076e-23 0.00000e+00 
1.62037e-05 1.83128e-23  -1.83115e-23 0.00000e+00 
1.63399e-05 1.86195e-23  -1.86182e-23 0.00000e+00 
1.64760e-05 1.89290e-23  -1.89277e-23 0.00000e+00 
1.66122e-05 1.92410e-23  -1.92397e-23 0.00000e+00 
1.67484e-05 1.95555e-23  -1.95542e-23 0.00000e+00 
1.68845e-05 1.98724e-23  -1.98710e-23 0.00000e+00 
1.70207e-05 2.01916e-23  -2.01903e-23 0.00000e+00 
1.71569e-05 2.05136e-23  -2.05123e-23 0.00000e+00 
1.72930e-05 2.08379e-23  -2.08366e-23 0.00000e+00 
1.74292e-05 2.11648e-23  -2.11634e-23 0.00000e+00 
1.75654e-05 2.14943e-23  -2.14930e-23 0.00000e+00 
1.77015e-05 2.18262e-23  -2.18249e-23 0.00000e+00 
1.78377e-05 2.21606e-23  -2.21593e-23 0.00000e+00 
1.79739e-05 2.24976e-23  -2.24963e-23 0.00000e+00 
1.81100e-05 2.28370e-23  -2.28357e-23 0.00000e+00 
1.82462e-05 2.31789e-23  -2.31776e-23 0.00000e+00 
1.83824e-05 2.35233e-23  -2.35220e-23 0.00000e+00 
