2.72331e-05 7.81903e+01  -3.51037e-21 0.00000e+00 
5.44663e-05 1.04137e+03  -8.28149e+02 0.00000e+00 
8.16994e-05 4.39620e+03  -4.01700e+03 0.00000e+00 
1.08932e-04 1.18683e+04  -1.13275e+04 0.00000e+00 
1.36162e-04 2.49209e+04  -2.42524e+04 0.00000e+00 
1.63390e-04 4.43655e+04  -4.36205e+04 0.00000e+00 
1.90613e-04 7.01629e+04  -6.93956e+04 0.00000e+00 
2.17830e-04 1.01453e+05  -1.00707e+05 0.00000e+00 
2.45041e-04 1.36789e+05  -1.36090e+05 0.00000e+00 
2.72245e-04 1.74494e+05  -1.73847e+05 0.00000e+00 
2.99443e-04 2.13020e+05  -2.12415e+05 0.00000e+00 
3.26634e-04 2.51227e+05  -2.50647e+05 0.00000e+00 
3.53822e-04 2.88488e+05  -2.87918e+05 0.00000e+00 
3.81008e-04 3.24634e+05  -3.24072e+05 0.00000e+00 
4.08195e-04 3.59773e+05  -3.59226e+05 0.00000e+00 
4.35386e-04 3.94045e+05  -3.93532e+05 0.00000e+00 
4.62585e-04 4.27409e+05  -4.26952e+05 0.00000e+00 
4.89794e-04 4.59509e+05  -4.59127e+05 0.00000e+00 
5.17017e-04 4.89647e+05  -4.89351e+05 0.00000e+00 
5.44228e-04 5.16924e+05  -5.16711e+05 0.00000e+00 
5.71423e-04 5.40356e+05  -5.40210e+05 0.00000e+00 
5.98602e-04 5.59026e+05  -5.58925e+05 0.00000e+00 
6.25765e-04 5.72211e+05  -5.72128e+05 0.00000e+00 
6.52914e-04 5.79427e+05  -5.79339e+05 0.00000e+00 
6.80051e-04 5.80414e+05  -5.80306e+05 0.00000e+00 
7.07180e-04 5.75066e+05  -5.74929e+05 0.00000e+00 
7.34305e-04 5.63354e+05  -5.63189e+05 0.00000e+00 
7.61429e-04 5.45283e+05  -5.45091e+05 0.00000e+00 
7.88558e-04 5.20903e+05  -5.20685e+05 0.00000e+00 
8.15697e-04 4.90382e+05  -4.90134e+05 0.00000e+00 
8.42848e-04 4.54117e+05  -4.53830e+05 0.00000e+00 
8.70017e-04 4.12843e+05  -4.12505e+05 0.00000e+00 
8.97206e-04 3.67763e+05  -3.67363e+05 0.00000e+00 
9.24387e-04 3.20427e+05  -3.19959e+05 0.00000e+00 
9.51552e-04 2.72624e+05  -2.72090e+05 0.00000e+00 
9.78701e-04 2.26230e+05  -2.25644e+05 0.00000e+00 
1.00584e-03 1.83014e+05  -1.82401e+05 0.00000e+00 
1.03296e-03 1.44442e+05  -1.43831e+05 0.00000e+00 
1.06007e-03 1.11528e+05  -1.10949e+05 0.00000e+00 
1.08716e-03 8.47821e+04  -8.42576e+04 0.00000e+00 
