1.36166e-07 1.07209e-27  -8.02346e-28 0.00000e+00 
2.72331e-07 2.39673e-27  -2.12824e-27 0.00000e+00 
4.08497e-07 4.23617e-27  -3.96769e-27 0.00000e+00 
5.44663e-07 6.59836e-27  -6.32987e-27 0.00000e+00 
6.80828e-07 9.47967e-27  -9.21136e-27 0.00000e+00 
8.16994e-07 1.28441e-26  -1.25761e-26 0.00000e+00 
9.53159e-07 1.66935e-26  -1.64254e-26 0.00000e+00 
1.08933e-06 2.10621e-26  -2.07940e-26 0.00000e+00 
1.22549e-06 2.59502e-26  -2.56820e-26 0.00000e+00 
1.36166e-06 3.13580e-26  -3.10898e-26 0.00000e+00 
1.49782e-06 3.72859e-26  -3.70177e-26 0.00000e+00 
1.63399e-06 4.37352e-26  -4.34668e-26 0.00000e+00 
1.77015e-06 5.07200e-26  -5.04517e-26 0.00000e+00 
1.90632e-06 5.81997e-26  -5.79322e-26 0.00000e+00 
2.04248e-06 6.61602e-26  -6.58917e-26 0.00000e+00 
2.17865e-06 7.46675e-26  -7.43980e-26 0.00000e+00 
2.31482e-06 8.37095e-26  -8.34408e-26 0.00000e+00 
2.45098e-06 9.32624e-26  -9.29937e-26 0.00000e+00 
2.58715e-06 1.03341e-25  -1.03072e-25 0.00000e+00 
2.72331e-06 1.13868e-25  -1.13601e-25 0.00000e+00 
2.85948e-06 1.24745e-25  -1.24475e-25 0.00000e+00 
2.99564e-06 1.36058e-25  -1.35788e-25 0.00000e+00 
3.13181e-06 1.47903e-25  -1.47633e-25 0.00000e+00 
3.26798e-06 1.60277e-25  -1.60008e-25 0.00000e+00 
3.40414e-06 1.73181e-25  -1.72912e-25 0.00000e+00 
3.54031e-06 1.86614e-25  -1.86345e-25 0.00000e+00 
3.67647e-06 2.00576e-25  -2.00307e-25 0.00000e+00 
3.81264e-06 2.15065e-25  -2.14796e-25 0.00000e+00 
3.94880e-06 2.30076e-25  -2.29807e-25 0.00000e+00 
4.08497e-06 2.45589e-25  -2.45319e-25 0.00000e+00 
4.22113e-06 2.61608e-25  -2.61339e-25 0.00000e+00 
