1.36166e-04 4.02750e+02  0.00000e+00 0.00000e+00 
2.72331e-04 3.68835e+03  -3.14442e+03 0.00000e+00 
4.08497e-04 1.26299e+04  -1.15442e+04 0.00000e+00 
5.44658e-04 3.66468e+04  -3.43441e+04 0.00000e+00 
6.80815e-04 9.16269e+04  -8.75767e+04 0.00000e+00 
8.16971e-04 1.91139e+05  -1.86074e+05 0.00000e+00 
9.53127e-04 3.45952e+05  -3.39487e+05 0.00000e+00 
1.08928e-03 5.82646e+05  -5.73593e+05 0.00000e+00 
1.22543e-03 9.37292e+05  -9.25233e+05 0.00000e+00 
1.36158e-03 1.43204e+06  -1.41792e+06 0.00000e+00 
1.49772e-03 2.08449e+06  -2.06799e+06 0.00000e+00 
1.63387e-03 2.93940e+06  -2.91912e+06 0.00000e+00 
1.77001e-03 4.05317e+06  -4.02869e+06 0.00000e+00 
1.90614e-03 5.45692e+06  -5.42923e+06 0.00000e+00 
2.04228e-03 7.17535e+06  -7.14423e+06 0.00000e+00 
2.17842e-03 9.27028e+06  -9.23428e+06 0.00000e+00 
2.31455e-03 1.18175e+07  -1.17762e+07 0.00000e+00 
2.45068e-03 1.48587e+07  -1.48130e+07 0.00000e+00 
2.58681e-03 1.84269e+07  -1.83766e+07 0.00000e+00 
2.72293e-03 2.25991e+07  -2.25429e+07 0.00000e+00 
2.85905e-03 2.74691e+07  -2.74064e+07 0.00000e+00 
2.99518e-03 3.30908e+07  -3.30225e+07 0.00000e+00 
3.13129e-03 3.95070e+07  -3.94331e+07 0.00000e+00 
3.26741e-03 4.68085e+07  -4.67276e+07 0.00000e+00 
3.40353e-03 5.51051e+07  -5.50167e+07 0.00000e+00 
3.53964e-03 6.44646e+07  -6.43694e+07 0.00000e+00 
3.67575e-03 7.49412e+07  -7.48392e+07 0.00000e+00 
3.81186e-03 8.66380e+07  -8.65280e+07 0.00000e+00 
3.94796e-03 9.96794e+07  -9.95609e+07 0.00000e+00 
4.08406e-03 1.14148e+08  -1.14021e+08 0.00000e+00 
4.22017e-03 1.30111e+08  -1.29976e+08 0.00000e+00 
4.35626e-03 1.47683e+08  -1.47539e+08 0.00000e+00 
4.49236e-03 1.67001e+08  -1.66848e+08 0.00000e+00 
4.62845e-03 1.88163e+08  -1.88001e+08 0.00000e+00 
4.76455e-03 2.11252e+08  -2.11080e+08 0.00000e+00 
4.90064e-03 2.36391e+08  -2.36209e+08 0.00000e+00 
5.03673e-03 2.63731e+08  -2.63539e+08 0.00000e+00 
5.17281e-03 2.93386e+08  -2.93183e+08 0.00000e+00 
5.30889e-03 3.25451e+08  -3.25237e+08 0.00000e+00 
5.44498e-03 3.60063e+08  -3.59838e+08 0.00000e+00 
5.58105e-03 3.97383e+08  -3.97147e+08 0.00000e+00 
5.71713e-03 4.37540e+08  -4.37292e+08 0.00000e+00 
5.85320e-03 4.80645e+08  -4.80386e+08 0.00000e+00 
5.98928e-03 5.26848e+08  -5.26576e+08 0.00000e+00 
6.12535e-03 5.76318e+08  -5.76034e+08 0.00000e+00 
6.26141e-03 6.29200e+08  -6.28904e+08 0.00000e+00 
6.39748e-03 6.85623e+08  -6.85313e+08 0.00000e+00 
6.53354e-03 7.45744e+08  -7.45421e+08 0.00000e+00 
