1.36166e-04 6.51919e+01  0.00000e+00 0.00000e+00 
2.72331e-04 1.04307e+03  -7.82303e+02 0.00000e+00 
4.08497e-04 5.28055e+03  -4.69382e+03 0.00000e+00 
5.44663e-04 1.66891e+04  -1.56461e+04 0.00000e+00 
6.80828e-04 4.07450e+04  -3.91152e+04 0.00000e+00 
8.16994e-04 8.44888e+04  -8.21419e+04 0.00000e+00 
9.53159e-04 1.56526e+05  -1.53331e+05 0.00000e+00 
1.08933e-03 2.67026e+05  -2.62854e+05 0.00000e+00 
1.22549e-03 4.27724e+05  -4.22444e+05 0.00000e+00 
1.36166e-03 6.51919e+05  -6.45400e+05 0.00000e+00 
1.49782e-03 9.54475e+05  -9.46587e+05 0.00000e+00 
1.63399e-03 1.35182e+06  -1.34243e+06 0.00000e+00 
1.77015e-03 1.86195e+06  -1.85093e+06 0.00000e+00 
1.90632e-03 2.50441e+06  -2.49164e+06 0.00000e+00 
2.04248e-03 3.30034e+06  -3.28567e+06 0.00000e+00 
2.17865e-03 4.27242e+06  -4.25573e+06 0.00000e+00 
2.31482e-03 5.44490e+06  -5.42606e+06 0.00000e+00 
2.45098e-03 6.84359e+06  -6.82247e+06 0.00000e+00 
2.58715e-03 8.49588e+06  -8.47235e+06 0.00000e+00 
2.72331e-03 1.04307e+07  -1.04046e+07 0.00000e+00 
2.85948e-03 1.26786e+07  -1.26498e+07 0.00000e+00 
2.99564e-03 1.52716e+07  -1.52401e+07 0.00000e+00 
3.13181e-03 1.82434e+07  -1.82089e+07 0.00000e+00 
3.26798e-03 2.16291e+07  -2.15916e+07 0.00000e+00 
3.40414e-03 2.54656e+07  -2.54249e+07 0.00000e+00 
3.54031e-03 2.97912e+07  -2.97471e+07 0.00000e+00 
3.67647e-03 3.46457e+07  -3.45982e+07 0.00000e+00 
3.81264e-03 4.00706e+07  -4.00195e+07 0.00000e+00 
3.94880e-03 4.61090e+07  -4.60542e+07 0.00000e+00 
4.08497e-03 5.28055e+07  -5.27468e+07 0.00000e+00 
4.22113e-03 6.02061e+07  -6.01435e+07 0.00000e+00 
4.35730e-03 6.83587e+07  -6.82920e+07 0.00000e+00 
4.49347e-03 7.73125e+07  -7.72415e+07 0.00000e+00 
4.62963e-03 8.71184e+07  -8.70430e+07 0.00000e+00 
4.76580e-03 9.78287e+07  -9.77488e+07 0.00000e+00 
