1.36166e-04 4.02861e+02  0.00000e+00 0.00000e+00 
2.72331e-04 3.68965e+03  -3.14543e+03 0.00000e+00 
4.08489e-04 1.26355e+04  -1.15493e+04 0.00000e+00 
5.44640e-04 3.66634e+04  -3.43595e+04 0.00000e+00 
6.80784e-04 9.16706e+04  -8.76175e+04 0.00000e+00 
8.16920e-04 1.91256e+05  -1.86184e+05 0.00000e+00 
9.53048e-04 3.46209e+05  -3.39737e+05 0.00000e+00 
1.08917e-03 5.83090e+05  -5.74029e+05 0.00000e+00 
1.22528e-03 9.38027e+05  -9.25951e+05 0.00000e+00 
1.36139e-03 1.43334e+06  -1.41919e+06 0.00000e+00 
1.49749e-03 2.08665e+06  -2.07012e+06 0.00000e+00 
1.63358e-03 2.94253e+06  -2.92222e+06 0.00000e+00 
1.76966e-03 4.05761e+06  -4.03309e+06 0.00000e+00 
1.90574e-03 5.46351e+06  -5.43575e+06 0.00000e+00 
2.04181e-03 7.18485e+06  -7.15367e+06 0.00000e+00 
2.17787e-03 9.28298e+06  -9.24691e+06 0.00000e+00 
2.31393e-03 1.18341e+07  -1.17927e+07 0.00000e+00 
2.44997e-03 1.48811e+07  -1.48353e+07 0.00000e+00 
2.58601e-03 1.84567e+07  -1.84063e+07 0.00000e+00 
2.72204e-03 2.26369e+07  -2.25806e+07 0.00000e+00 
2.85807e-03 2.75162e+07  -2.74534e+07 0.00000e+00 
2.99409e-03 3.31507e+07  -3.30822e+07 0.00000e+00 
3.13010e-03 3.95825e+07  -3.95084e+07 0.00000e+00 
3.26610e-03 4.69009e+07  -4.68197e+07 0.00000e+00 
3.40209e-03 5.52167e+07  -5.51280e+07 0.00000e+00 
3.53808e-03 6.46008e+07  -6.45052e+07 0.00000e+00 
3.67406e-03 7.51068e+07  -7.50043e+07 0.00000e+00 
3.81004e-03 8.68352e+07  -8.67247e+07 0.00000e+00 
3.94600e-03 9.99119e+07  -9.97928e+07 0.00000e+00 
4.08196e-03 1.14424e+08  -1.14297e+08 0.00000e+00 
4.21791e-03 1.30437e+08  -1.30302e+08 0.00000e+00 
4.35385e-03 1.48063e+08  -1.47919e+08 0.00000e+00 
4.48979e-03 1.67441e+08  -1.67287e+08 0.00000e+00 
4.62572e-03 1.88675e+08  -1.88511e+08 0.00000e+00 
4.76164e-03 2.11844e+08  -2.11672e+08 0.00000e+00 
4.89755e-03 2.37071e+08  -2.36888e+08 0.00000e+00 
5.03346e-03 2.64507e+08  -2.64314e+08 0.00000e+00 
5.16936e-03 2.94272e+08  -2.94068e+08 0.00000e+00 
5.30525e-03 3.26461e+08  -3.26247e+08 0.00000e+00 
5.44113e-03 3.61207e+08  -3.60982e+08 0.00000e+00 
5.57701e-03 3.98672e+08  -3.98435e+08 0.00000e+00 
5.71288e-03 4.38993e+08  -4.38744e+08 0.00000e+00 
5.84874e-03 4.82282e+08  -4.82022e+08 0.00000e+00 
5.98460e-03 5.28681e+08  -5.28408e+08 0.00000e+00 
6.12044e-03 5.78363e+08  -5.78077e+08 0.00000e+00 
6.25628e-03 6.31481e+08  -6.31182e+08 0.00000e+00 
6.39211e-03 6.88163e+08  -6.87852e+08 0.00000e+00 
6.52794e-03 7.48564e+08  -7.48239e+08 0.00000e+00 
6.66376e-03 8.12865e+08  -8.12526e+08 0.00000e+00 
6.79957e-03 8.81235e+08  -8.80883e+08 0.00000e+00 
6.93537e-03 9.53821e+08  -9.53454e+08 0.00000e+00 
7.07116e-03 1.03079e+09  -1.03040e+09 0.00000e+00 
7.20695e-03 1.11232e+09  -1.11193e+09 0.00000e+00 
7.34273e-03 1.19862e+09  -1.19821e+09 0.00000e+00 
7.47851e-03 1.28983e+09  -1.28940e+09 0.00000e+00 
7.61427e-03 1.38614e+09  -1.38570e+09 0.00000e+00 
7.75003e-03 1.48775e+09  -1.48729e+09 0.00000e+00 
7.88578e-03 1.59485e+09  -1.59438e+09 0.00000e+00 
8.02152e-03 1.70763e+09  -1.70714e+09 0.00000e+00 
8.15726e-03 1.82627e+09  -1.82577e+09 0.00000e+00 
8.29299e-03 1.95100e+09  -1.95047e+09 0.00000e+00 
8.42871e-03 2.08201e+09  -2.08147e+09 0.00000e+00 
8.56442e-03 2.21951e+09  -2.21895e+09 0.00000e+00 
8.70013e-03 2.36370e+09  -2.36312e+09 0.00000e+00 
8.83583e-03 2.51480e+09  -2.51420e+09 0.00000e+00 
8.97152e-03 2.67304e+09  -2.67242e+09 0.00000e+00 
9.10721e-03 2.83863e+09  -2.83799e+09 0.00000e+00 
9.24288e-03 3.01178e+09  -3.01113e+09 0.00000e+00 
9.37855e-03 3.19273e+09  -3.19206e+09 0.00000e+00 
9.51422e-03 3.38173e+09  -3.38104e+09 0.00000e+00 
9.64987e-03 3.57899e+09  -3.57828e+09 0.00000e+00 
9.78552e-03 3.78474e+09  -3.78401e+09 0.00000e+00 
9.92116e-03 3.99924e+09  -3.99849e+09 0.00000e+00 
1.00568e-02 4.22273e+09  -4.22196e+09 0.00000e+00 
1.01924e-02 4.45546e+09  -4.45467e+09 0.00000e+00 
1.03280e-02 4.69767e+09  -4.69686e+09 0.00000e+00 
1.04636e-02 4.94962e+09  -4.94878e+09 0.00000e+00 
1.05992e-02 5.21157e+09  -5.21071e+09 0.00000e+00 
1.07348e-02 5.48378e+09  -5.48290e+09 0.00000e+00 
1.08704e-02 5.76650e+09  -5.76560e+09 0.00000e+00 
1.10060e-02 6.06002e+09  -6.05909e+09 0.00000e+00 
1.11416e-02 6.36459e+09  -6.36364e+09 0.00000e+00 
1.12772e-02 6.68051e+09  -6.67953e+09 0.00000e+00 
1.14127e-02 7.00803e+09  -7.00703e+09 0.00000e+00 
1.15483e-02 7.34744e+09  -7.34642e+09 0.00000e+00 
1.16838e-02 7.69903e+09  -7.69799e+09 0.00000e+00 
1.18193e-02 8.06309e+09  -8.06202e+09 0.00000e+00 
1.19549e-02 8.43990e+09  -8.43881e+09 0.00000e+00 
1.20904e-02 8.82976e+09  -8.82864e+09 0.00000e+00 
1.22259e-02 9.23296e+09  -9.23182e+09 0.00000e+00 
1.23614e-02 9.64981e+09  -9.64865e+09 0.00000e+00 
1.24969e-02 1.00806e+10  -1.00794e+10 0.00000e+00 
1.26324e-02 1.05257e+10  -1.05245e+10 0.00000e+00 
1.27679e-02 1.09853e+10  -1.09841e+10 0.00000e+00 
1.29034e-02 1.14598e+10  -1.14586e+10 0.00000e+00 
1.30388e-02 1.19495e+10  -1.19482e+10 0.00000e+00 
1.31743e-02 1.24548e+10  -1.24535e+10 0.00000e+00 
1.33098e-02 1.29759e+10  -1.29745e+10 0.00000e+00 
1.34452e-02 1.35131e+10  -1.35117e+10 0.00000e+00 
1.35806e-02 1.40669e+10  -1.40655e+10 0.00000e+00 
1.37161e-02 1.46375e+10  -1.46361e+10 0.00000e+00 
1.38515e-02 1.52253e+10  -1.52238e+10 0.00000e+00 
1.39869e-02 1.58306e+10  -1.58291e+10 0.00000e+00 
1.41223e-02 1.64537e+10  -1.64522e+10 0.00000e+00 
1.42577e-02 1.70951e+10  -1.70935e+10 0.00000e+00 
1.43931e-02 1.77550e+10  -1.77534e+10 0.00000e+00 
1.45285e-02 1.84338e+10  -1.84322e+10 0.00000e+00 
1.46639e-02 1.91320e+10  -1.91303e+10 0.00000e+00 
1.47993e-02 1.98497e+10  -1.98480e+10 0.00000e+00 
1.49346e-02 2.05874e+10  -2.05857e+10 0.00000e+00 
1.50700e-02 2.13455e+10  -2.13438e+10 0.00000e+00 
1.52054e-02 2.21244e+10  -2.21226e+10 0.00000e+00 
1.53407e-02 2.29243e+10  -2.29225e+10 0.00000e+00 
1.54760e-02 2.37457e+10  -2.37439e+10 0.00000e+00 
