1.57989e-04 6.33347e+02  0.00000e+00 0.00000e+00 
3.15978e-04 2.33403e+03  -7.03469e+01 0.00000e+00 
4.73968e-04 6.46598e+03  -2.51808e+03 0.00000e+00 
6.31942e-04 7.89741e+03  -5.67338e+03 0.00000e+00 
7.89927e-04 4.46462e+04  3.33372e+04 0.00000e+00 
9.47876e-04 7.10739e+04  3.63256e+05 0.00000e+00 
1.10582e-03 1.77612e+02  7.70984e+05 0.00000e+00 
1.26393e-03 8.04790e+05  -7.14827e+05 0.00000e+00 
1.42159e-03 7.35024e+06  3.40588e+06 0.00000e+00 
1.57970e-03 1.34101e+07  7.84417e+07 0.00000e+00 
1.73769e-03 3.60259e+06  1.48262e+08 0.00000e+00 
1.89363e-03 1.68738e+08  -1.71341e+08 0.00000e+00 
2.05305e-03 1.37261e+09  1.24027e+09 0.00000e+00 
2.20867e-03 1.37864e+08  7.79416e+09 0.00000e+00 
2.35701e-03 3.48034e+09  -3.63513e+09 0.00000e+00 
2.52690e-03 3.89483e+10  7.45479e+09 0.00000e+00 
2.66767e-03 6.84833e+10  -4.43618e+10 0.00000e+00 
2.80050e-03 6.30495e+11  2.55722e+10 0.00000e+00 
3.01245e-03 1.69922e+13  -1.14004e+13 0.00000e+00 
3.24662e-03 4.91760e+14  -2.69312e+14 0.00000e+00 
3.53907e-03 6.27922e+20  -7.27306e+18 0.00000e+00 
6.42109e-03 2.40184e+38  -9.47827e+31 0.00000e+00 
