2.72331e-05 1.04254e+02  -2.80830e-21 0.00000e+00 
5.44663e-05 1.40240e+03  -1.11174e+03 0.00000e+00 
8.16994e-05 6.02953e+03  -5.49103e+03 0.00000e+00 
1.08932e-04 1.67217e+04  -1.59053e+04 0.00000e+00 
1.36165e-04 3.63990e+04  -3.53010e+04 0.00000e+00 
1.63397e-04 6.78314e+04  -6.64641e+04 0.00000e+00 
1.90629e-04 1.13471e+05  -1.11851e+05 0.00000e+00 
2.17860e-04 1.75480e+05  -1.73616e+05 0.00000e+00 
2.45089e-04 2.55936e+05  -2.53823e+05 0.00000e+00 
2.72317e-04 3.57152e+05  -3.54767e+05 0.00000e+00 
2.99544e-04 4.82037e+05  -4.79338e+05 0.00000e+00 
3.26769e-04 6.34418e+05  -6.31353e+05 0.00000e+00 
3.53992e-04 8.19273e+05  -8.15781e+05 0.00000e+00 
3.81214e-04 1.04284e+06  -1.03886e+06 0.00000e+00 
4.08434e-04 1.31264e+06  -1.30810e+06 0.00000e+00 
4.35653e-04 1.63742e+06  -1.63224e+06 0.00000e+00 
4.62870e-04 2.02702e+06  -2.02114e+06 0.00000e+00 
4.90086e-04 2.49238e+06  -2.48571e+06 0.00000e+00 
5.17301e-04 3.04537e+06  -3.03781e+06 0.00000e+00 
5.44515e-04 3.69876e+06  -3.69021e+06 0.00000e+00 
5.71729e-04 4.46615e+06  -4.45649e+06 0.00000e+00 
5.98943e-04 5.36175e+06  -5.35090e+06 0.00000e+00 
6.26156e-04 6.40022e+06  -6.38808e+06 0.00000e+00 
6.53368e-04 7.59630e+06  -7.58281e+06 0.00000e+00 
6.80581e-04 8.96445e+06  -8.94957e+06 0.00000e+00 
7.07793e-04 1.05185e+07  -1.05022e+07 0.00000e+00 
7.35006e-04 1.22711e+07  -1.22535e+07 0.00000e+00 
7.62217e-04 1.42341e+07  -1.42152e+07 0.00000e+00 
7.89428e-04 1.64180e+07  -1.63978e+07 0.00000e+00 
8.16639e-04 1.88322e+07  -1.88109e+07 0.00000e+00 
8.43848e-04 2.14860e+07  -2.14636e+07 0.00000e+00 
8.71056e-04 2.43888e+07  -2.43652e+07 0.00000e+00 
8.98263e-04 2.75506e+07  -2.75259e+07 0.00000e+00 
9.25469e-04 3.09832e+07  -3.09574e+07 0.00000e+00 
9.52674e-04 3.47006e+07  -3.46736e+07 0.00000e+00 
9.79876e-04 3.87194e+07  -3.86911e+07 0.00000e+00 
1.00708e-03 4.30590e+07  -4.30294e+07 0.00000e+00 
1.03428e-03 4.77418e+07  -4.77107e+07 0.00000e+00 
1.06148e-03 5.27930e+07  -5.27603e+07 0.00000e+00 
1.08867e-03 5.82401e+07  -5.82056e+07 0.00000e+00 
1.11587e-03 6.41124e+07  -6.40760e+07 0.00000e+00 
1.14307e-03 7.04406e+07  -7.04022e+07 0.00000e+00 
1.17026e-03 7.72560e+07  -7.72155e+07 0.00000e+00 
1.19745e-03 8.45897e+07  -8.45469e+07 0.00000e+00 
1.22465e-03 9.24721e+07  -9.24270e+07 0.00000e+00 
1.25184e-03 1.00932e+08  -1.00885e+08 0.00000e+00 
1.27903e-03 1.09997e+08  -1.09947e+08 0.00000e+00 
1.30623e-03 1.19691e+08  -1.19638e+08 0.00000e+00 
1.33342e-03 1.30036e+08  -1.29981e+08 0.00000e+00 
1.36061e-03 1.41052e+08  -1.40994e+08 0.00000e+00 
1.38780e-03 1.52755e+08  -1.52696e+08 0.00000e+00 
1.41499e-03 1.65163e+08  -1.65101e+08 0.00000e+00 
1.44218e-03 1.78288e+08  -1.78224e+08 0.00000e+00 
1.46937e-03 1.92146e+08  -1.92080e+08 0.00000e+00 
1.49656e-03 2.06753e+08  -2.06685e+08 0.00000e+00 
1.52374e-03 2.22126e+08  -2.22056e+08 0.00000e+00 
1.55093e-03 2.38287e+08  -2.38215e+08 0.00000e+00 
1.57811e-03 2.55262e+08  -2.55188e+08 0.00000e+00 
1.60529e-03 2.73080e+08  -2.73003e+08 0.00000e+00 
1.63247e-03 2.91775e+08  -2.91696e+08 0.00000e+00 
1.65965e-03 3.11387e+08  -3.11306e+08 0.00000e+00 
1.68683e-03 3.31958e+08  -3.31874e+08 0.00000e+00 
1.71401e-03 3.53535e+08  -3.53448e+08 0.00000e+00 
1.74119e-03 3.76165e+08  -3.76075e+08 0.00000e+00 
1.76836e-03 3.99897e+08  -3.99804e+08 0.00000e+00 
1.79554e-03 4.24780e+08  -4.24684e+08 0.00000e+00 
1.82271e-03 4.50862e+08  -4.50763e+08 0.00000e+00 
1.84989e-03 4.78187e+08  -4.78085e+08 0.00000e+00 
1.87706e-03 5.06798e+08  -5.06692e+08 0.00000e+00 
1.90423e-03 5.36731e+08  -5.36622e+08 0.00000e+00 
1.93140e-03 5.68021e+08  -5.67908e+08 0.00000e+00 
1.95857e-03 6.00696e+08  -6.00580e+08 0.00000e+00 
1.98574e-03 6.34782e+08  -6.34663e+08 0.00000e+00 
2.01291e-03 6.70302e+08  -6.70179e+08 0.00000e+00 
2.04008e-03 7.07276e+08  -7.07150e+08 0.00000e+00 
2.06725e-03 7.45724e+08  -7.45595e+08 0.00000e+00 
2.09442e-03 7.85668e+08  -7.85536e+08 0.00000e+00 
2.12159e-03 8.27130e+08  -8.26995e+08 0.00000e+00 
2.14875e-03 8.70138e+08  -8.70000e+08 0.00000e+00 
2.17592e-03 9.14723e+08  -9.14582e+08 0.00000e+00 
2.20308e-03 9.60923e+08  -9.60779e+08 0.00000e+00 
2.23024e-03 1.00878e+09  -1.00863e+09 0.00000e+00 
2.25740e-03 1.05835e+09  -1.05820e+09 0.00000e+00 
2.28456e-03 1.10968e+09  -1.10952e+09 0.00000e+00 
2.31172e-03 1.16283e+09  -1.16267e+09 0.00000e+00 
2.33888e-03 1.21787e+09  -1.21771e+09 0.00000e+00 
2.36604e-03 1.27486e+09  -1.27469e+09 0.00000e+00 
2.39319e-03 1.33386e+09  -1.33369e+09 0.00000e+00 
2.42035e-03 1.39495e+09  -1.39477e+09 0.00000e+00 
