2.72331e-05 1.04379e+00  -2.80830e-21 0.00000e+00 
5.44663e-05 1.40366e+01  -1.11283e+01 0.00000e+00 
8.16994e-05 6.03340e+01  -5.49473e+01 0.00000e+00 
1.08933e-04 1.67305e+02  -1.59138e+02 0.00000e+00 
1.36166e-04 3.64182e+02  -3.53195e+02 0.00000e+00 
1.63399e-04 6.78738e+02  -6.65051e+02 0.00000e+00 
1.90632e-04 1.13563e+03  -1.11940e+03 0.00000e+00 
2.17866e-04 1.75667e+03  -1.73799e+03 0.00000e+00 
2.45099e-04 2.56289e+03  -2.54170e+03 0.00000e+00 
2.72333e-04 3.57769e+03  -3.55375e+03 0.00000e+00 
2.99566e-04 4.83047e+03  -4.80338e+03 0.00000e+00 
3.26800e-04 6.35982e+03  -6.32905e+03 0.00000e+00 
3.54034e-04 8.21584e+03  -8.18077e+03 0.00000e+00 
3.81269e-04 1.04613e+04  -1.04213e+04 0.00000e+00 
4.08503e-04 1.31720e+04  -1.31263e+04 0.00000e+00 
4.35738e-04 1.64356e+04  -1.63836e+04 0.00000e+00 
4.62972e-04 2.03518e+04  -2.02927e+04 0.00000e+00 
4.90207e-04 2.50304e+04  -2.49632e+04 0.00000e+00 
5.17442e-04 3.05912e+04  -3.05151e+04 0.00000e+00 
5.44677e-04 3.71630e+04  -3.70769e+04 0.00000e+00 
5.71912e-04 4.48831e+04  -4.47859e+04 0.00000e+00 
5.99147e-04 5.38949e+04  -5.37856e+04 0.00000e+00 
6.26383e-04 6.43466e+04  -6.42242e+04 0.00000e+00 
6.53618e-04 7.63871e+04  -7.62511e+04 0.00000e+00 
6.80853e-04 9.01629e+04  -9.00130e+04 0.00000e+00 
7.08088e-04 1.05814e+05  -1.05650e+05 0.00000e+00 
7.35323e-04 1.23471e+05  -1.23294e+05 0.00000e+00 
7.62559e-04 1.43254e+05  -1.43063e+05 0.00000e+00 
7.89794e-04 1.65269e+05  -1.65066e+05 0.00000e+00 
8.17029e-04 1.89617e+05  -1.89401e+05 0.00000e+00 
8.44265e-04 2.16391e+05  -2.16164e+05 0.00000e+00 
8.71500e-04 2.45689e+05  -2.45451e+05 0.00000e+00 
8.98736e-04 2.77615e+05  -2.77365e+05 0.00000e+00 
9.25972e-04 3.12289e+05  -3.12028e+05 0.00000e+00 
9.53208e-04 3.49854e+05  -3.49581e+05 0.00000e+00 
9.80444e-04 3.90479e+05  -3.90193e+05 0.00000e+00 
1.00768e-03 4.34360e+05  -4.34060e+05 0.00000e+00 
1.03492e-03 4.81726e+05  -4.81411e+05 0.00000e+00 
1.06215e-03 5.32830e+05  -5.32499e+05 0.00000e+00 
1.08939e-03 5.87952e+05  -5.87603e+05 0.00000e+00 
1.11663e-03 6.47390e+05  -6.47021e+05 0.00000e+00 
1.14386e-03 7.11454e+05  -7.11066e+05 0.00000e+00 
1.17110e-03 7.80465e+05  -7.80054e+05 0.00000e+00 
1.19834e-03 8.54738e+05  -8.54305e+05 0.00000e+00 
1.22558e-03 9.34586e+05  -9.34128e+05 0.00000e+00 
1.25281e-03 1.02030e+06  -1.01982e+06 0.00000e+00 
1.28005e-03 1.11217e+06  -1.11166e+06 0.00000e+00 
1.30729e-03 1.21044e+06  -1.20991e+06 0.00000e+00 
1.33452e-03 1.31535e+06  -1.31479e+06 0.00000e+00 
1.36176e-03 1.42710e+06  -1.42651e+06 0.00000e+00 
1.38900e-03 1.54586e+06  -1.54526e+06 0.00000e+00 
1.41624e-03 1.67181e+06  -1.67119e+06 0.00000e+00 
1.44347e-03 1.80511e+06  -1.80446e+06 0.00000e+00 
1.47071e-03 1.94590e+06  -1.94523e+06 0.00000e+00 
1.49795e-03 2.09436e+06  -2.09366e+06 0.00000e+00 
1.52519e-03 2.25067e+06  -2.24995e+06 0.00000e+00 
1.55242e-03 2.41505e+06  -2.41431e+06 0.00000e+00 
1.57966e-03 2.58776e+06  -2.58701e+06 0.00000e+00 
1.60690e-03 2.76912e+06  -2.76834e+06 0.00000e+00 
1.63414e-03 2.95945e+06  -2.95865e+06 0.00000e+00 
1.66138e-03 3.15917e+06  -3.15835e+06 0.00000e+00 
1.68862e-03 3.36871e+06  -3.36786e+06 0.00000e+00 
1.71586e-03 3.58854e+06  -3.58765e+06 0.00000e+00 
1.74309e-03 3.81914e+06  -3.81822e+06 0.00000e+00 
1.77033e-03 4.06102e+06  -4.06007e+06 0.00000e+00 
1.79757e-03 4.31468e+06  -4.31370e+06 0.00000e+00 
1.82481e-03 4.58062e+06  -4.57961e+06 0.00000e+00 
1.85205e-03 4.85930e+06  -4.85825e+06 0.00000e+00 
1.87929e-03 5.15115e+06  -5.15007e+06 0.00000e+00 
1.90653e-03 5.45659e+06  -5.45547e+06 0.00000e+00 
1.93377e-03 5.77596e+06  -5.77481e+06 0.00000e+00 
1.96101e-03 6.10958e+06  -6.10839e+06 0.00000e+00 
1.98825e-03 6.45773e+06  -6.45651e+06 0.00000e+00 
2.01549e-03 6.82066e+06  -6.81940e+06 0.00000e+00 
2.04273e-03 7.19859e+06  -7.19730e+06 0.00000e+00 
2.06997e-03 7.59175e+06  -7.59043e+06 0.00000e+00 
2.09720e-03 8.00036e+06  -7.99901e+06 0.00000e+00 
2.12444e-03 8.42467e+06  -8.42329e+06 0.00000e+00 
2.15168e-03 8.86496e+06  -8.86355e+06 0.00000e+00 
2.17892e-03 9.32156e+06  -9.32011e+06 0.00000e+00 
2.20616e-03 9.79485e+06  -9.79337e+06 0.00000e+00 
2.23340e-03 1.02853e+07  -1.02838e+07 0.00000e+00 
2.26065e-03 1.07933e+07  -1.07918e+07 0.00000e+00 
2.28789e-03 1.13196e+07  -1.13180e+07 0.00000e+00 
2.31513e-03 1.18647e+07  -1.18631e+07 0.00000e+00 
2.34237e-03 1.24292e+07  -1.24275e+07 0.00000e+00 
2.36961e-03 1.30139e+07  -1.30122e+07 0.00000e+00 
2.39685e-03 1.36193e+07  -1.36176e+07 0.00000e+00 
2.42409e-03 1.42463e+07  -1.42445e+07 0.00000e+00 
2.45133e-03 1.48953e+07  -1.48935e+07 0.00000e+00 
2.47857e-03 1.55672e+07  -1.55653e+07 0.00000e+00 
2.50581e-03 1.62623e+07  -1.62604e+07 0.00000e+00 
2.53305e-03 1.69813e+07  -1.69793e+07 0.00000e+00 
2.56030e-03 1.77245e+07  -1.77225e+07 0.00000e+00 
2.58754e-03 1.84925e+07  -1.84904e+07 0.00000e+00 
2.61478e-03 1.92855e+07  -1.92834e+07 0.00000e+00 
2.64202e-03 2.01040e+07  -2.01018e+07 0.00000e+00 
2.66926e-03 2.09481e+07  -2.09460e+07 0.00000e+00 
2.69650e-03 2.18183e+07  -2.18161e+07 0.00000e+00 
2.72375e-03 2.27148e+07  -2.27125e+07 0.00000e+00 
2.75099e-03 2.36380e+07  -2.36356e+07 0.00000e+00 
2.77823e-03 2.45882e+07  -2.45858e+07 0.00000e+00 
2.80547e-03 2.55659e+07  -2.55635e+07 0.00000e+00 
2.83271e-03 2.65716e+07  -2.65691e+07 0.00000e+00 
2.85996e-03 2.76059e+07  -2.76034e+07 0.00000e+00 
2.88720e-03 2.86694e+07  -2.86669e+07 0.00000e+00 
2.91444e-03 2.97629e+07  -2.97603e+07 0.00000e+00 
2.94168e-03 3.08871e+07  -3.08845e+07 0.00000e+00 
2.96893e-03 3.20428e+07  -3.20402e+07 0.00000e+00 
2.99617e-03 3.32309e+07  -3.32282e+07 0.00000e+00 
3.02341e-03 3.44522e+07  -3.44495e+07 0.00000e+00 
3.05066e-03 3.57076e+07  -3.57047e+07 0.00000e+00 
3.07790e-03 3.69977e+07  -3.69948e+07 0.00000e+00 
3.10514e-03 3.83234e+07  -3.83205e+07 0.00000e+00 
3.13238e-03 3.96854e+07  -3.96824e+07 0.00000e+00 
3.15963e-03 4.10844e+07  -4.10813e+07 0.00000e+00 
3.18687e-03 4.25208e+07  -4.25177e+07 0.00000e+00 
3.21411e-03 4.39952e+07  -4.39920e+07 0.00000e+00 
3.24136e-03 4.55081e+07  -4.55049e+07 0.00000e+00 
3.26860e-03 4.70599e+07  -4.70566e+07 0.00000e+00 
3.29585e-03 4.86510e+07  -4.86476e+07 0.00000e+00 
3.32309e-03 5.02818e+07  -5.02784e+07 0.00000e+00 
3.35033e-03 5.19527e+07  -5.19493e+07 0.00000e+00 
3.37758e-03 5.36642e+07  -5.36607e+07 0.00000e+00 
3.40482e-03 5.54168e+07  -5.54133e+07 0.00000e+00 
3.43207e-03 5.72111e+07  -5.72075e+07 0.00000e+00 
3.45931e-03 5.90476e+07  -5.90439e+07 0.00000e+00 
3.48655e-03 6.09271e+07  -6.09234e+07 0.00000e+00 
3.51380e-03 6.28504e+07  -6.28467e+07 0.00000e+00 
3.54104e-03 6.48184e+07  -6.48146e+07 0.00000e+00 
3.56829e-03 6.68319e+07  -6.68280e+07 0.00000e+00 
3.59553e-03 6.88920e+07  -6.88880e+07 0.00000e+00 
3.62278e-03 7.09995e+07  -7.09955e+07 0.00000e+00 
3.65002e-03 7.31555e+07  -7.31514e+07 0.00000e+00 
3.67727e-03 7.53609e+07  -7.53567e+07 0.00000e+00 
3.70451e-03 7.76167e+07  -7.76125e+07 0.00000e+00 
3.73176e-03 7.99237e+07  -7.99194e+07 0.00000e+00 
3.75900e-03 8.22828e+07  -8.22785e+07 0.00000e+00 
3.78625e-03 8.46947e+07  -8.46903e+07 0.00000e+00 
3.81349e-03 8.71602e+07  -8.71557e+07 0.00000e+00 
3.84074e-03 8.96798e+07  -8.96753e+07 0.00000e+00 
3.86798e-03 9.22542e+07  -9.22496e+07 0.00000e+00 
3.89523e-03 9.48838e+07  -9.48792e+07 0.00000e+00 
3.92248e-03 9.75693e+07  -9.75646e+07 0.00000e+00 
3.94972e-03 1.00311e+08  -1.00306e+08 0.00000e+00 
3.97697e-03 1.03110e+08  -1.03105e+08 0.00000e+00 
4.00421e-03 1.05966e+08  -1.05961e+08 0.00000e+00 
4.03146e-03 1.08880e+08  -1.08875e+08 0.00000e+00 
4.05871e-03 1.11853e+08  -1.11848e+08 0.00000e+00 
4.08595e-03 1.14885e+08  -1.14880e+08 0.00000e+00 
4.11320e-03 1.17978e+08  -1.17973e+08 0.00000e+00 
4.14045e-03 1.21132e+08  -1.21127e+08 0.00000e+00 
4.16769e-03 1.24349e+08  -1.24343e+08 0.00000e+00 
4.19494e-03 1.27628e+08  -1.27623e+08 0.00000e+00 
4.22219e-03 1.30973e+08  -1.30967e+08 0.00000e+00 
4.24943e-03 1.34382e+08  -1.34377e+08 0.00000e+00 
4.27668e-03 1.37858e+08  -1.37853e+08 0.00000e+00 
4.30393e-03 1.41402e+08  -1.41397e+08 0.00000e+00 
4.33117e-03 1.45015e+08  -1.45009e+08 0.00000e+00 
4.35842e-03 1.48698e+08  -1.48692e+08 0.00000e+00 
4.38567e-03 1.52451e+08  -1.52445e+08 0.00000e+00 
4.41292e-03 1.56276e+08  -1.56270e+08 0.00000e+00 
4.44016e-03 1.60173e+08  -1.60167e+08 0.00000e+00 
4.46741e-03 1.64143e+08  -1.64137e+08 0.00000e+00 
4.49466e-03 1.68188e+08  -1.68182e+08 0.00000e+00 
4.52191e-03 1.72307e+08  -1.72300e+08 0.00000e+00 
4.54915e-03 1.76501e+08  -1.76494e+08 0.00000e+00 
4.57640e-03 1.80771e+08  -1.80764e+08 0.00000e+00 
4.60365e-03 1.85117e+08  -1.85111e+08 0.00000e+00 
4.63090e-03 1.89541e+08  -1.89535e+08 0.00000e+00 
4.65815e-03 1.94043e+08  -1.94036e+08 0.00000e+00 
4.68539e-03 1.98624e+08  -1.98617e+08 0.00000e+00 
4.71264e-03 2.03284e+08  -2.03277e+08 0.00000e+00 
4.73989e-03 2.08025e+08  -2.08018e+08 0.00000e+00 
4.76714e-03 2.12848e+08  -2.12841e+08 0.00000e+00 
4.79439e-03 2.17753e+08  -2.17746e+08 0.00000e+00 
4.82164e-03 2.22743e+08  -2.22736e+08 0.00000e+00 
4.84889e-03 2.27818e+08  -2.27811e+08 0.00000e+00 
4.87614e-03 2.32979e+08  -2.32972e+08 0.00000e+00 
4.90338e-03 2.38228e+08  -2.38221e+08 0.00000e+00 
4.93063e-03 2.43566e+08  -2.43559e+08 0.00000e+00 
4.95788e-03 2.48994e+08  -2.48987e+08 0.00000e+00 
4.98513e-03 2.54513e+08  -2.54506e+08 0.00000e+00 
5.01238e-03 2.60125e+08  -2.60117e+08 0.00000e+00 
5.03963e-03 2.65829e+08  -2.65821e+08 0.00000e+00 
5.06688e-03 2.71628e+08  -2.71620e+08 0.00000e+00 
5.09413e-03 2.77522e+08  -2.77514e+08 0.00000e+00 
5.12138e-03 2.83512e+08  -2.83504e+08 0.00000e+00 
5.14863e-03 2.89598e+08  -2.89590e+08 0.00000e+00 
5.17588e-03 2.95782e+08  -2.95774e+08 0.00000e+00 
5.20313e-03 3.02065e+08  -3.02057e+08 0.00000e+00 
5.23038e-03 3.08447e+08  -3.08438e+08 0.00000e+00 
5.25763e-03 3.14928e+08  -3.14920e+08 0.00000e+00 
5.28488e-03 3.21511e+08  -3.21502e+08 0.00000e+00 
5.31213e-03 3.28195e+08  -3.28187e+08 0.00000e+00 
5.33938e-03 3.34983e+08  -3.34974e+08 0.00000e+00 
5.36663e-03 3.41874e+08  -3.41865e+08 0.00000e+00 
5.39388e-03 3.48870e+08  -3.48861e+08 0.00000e+00 
5.42113e-03 3.55973e+08  -3.55964e+08 0.00000e+00 
5.44838e-03 3.63183e+08  -3.63174e+08 0.00000e+00 
5.47563e-03 3.70503e+08  -3.70494e+08 0.00000e+00 
5.50289e-03 3.77932e+08  -3.77923e+08 0.00000e+00 
5.53014e-03 3.85474e+08  -3.85464e+08 0.00000e+00 
5.55739e-03 3.93128e+08  -3.93118e+08 0.00000e+00 
5.58464e-03 4.00896e+08  -4.00887e+08 0.00000e+00 
5.61189e-03 4.08780e+08  -4.08771e+08 0.00000e+00 
5.63914e-03 4.16781e+08  -4.16771e+08 0.00000e+00 
5.66639e-03 4.24899e+08  -4.24889e+08 0.00000e+00 
5.69364e-03 4.33136e+08  -4.33127e+08 0.00000e+00 
5.72090e-03 4.41494e+08  -4.41484e+08 0.00000e+00 
5.74815e-03 4.49972e+08  -4.49962e+08 0.00000e+00 
5.77540e-03 4.58572e+08  -4.58562e+08 0.00000e+00 
5.80265e-03 4.67295e+08  -4.67284e+08 0.00000e+00 
5.82990e-03 4.76141e+08  -4.76131e+08 0.00000e+00 
5.85716e-03 4.85112e+08  -4.85102e+08 0.00000e+00 
5.88441e-03 4.94209e+08  -4.94199e+08 0.00000e+00 
5.91166e-03 5.03433e+08  -5.03422e+08 0.00000e+00 
5.93891e-03 5.12784e+08  -5.12774e+08 0.00000e+00 
5.96617e-03 5.22265e+08  -5.22254e+08 0.00000e+00 
5.99342e-03 5.31875e+08  -5.31864e+08 0.00000e+00 
6.02067e-03 5.41618e+08  -5.41606e+08 0.00000e+00 
6.04792e-03 5.51492e+08  -5.51481e+08 0.00000e+00 
6.07518e-03 5.61502e+08  -5.61490e+08 0.00000e+00 
6.10243e-03 5.71646e+08  -5.71635e+08 0.00000e+00 
6.12968e-03 5.81928e+08  -5.81917e+08 0.00000e+00 
6.15694e-03 5.92348e+08  -5.92337e+08 0.00000e+00 
6.18419e-03 6.02909e+08  -6.02897e+08 0.00000e+00 
6.21144e-03 6.13610e+08  -6.13598e+08 0.00000e+00 
6.23870e-03 6.24454e+08  -6.24443e+08 0.00000e+00 
6.26595e-03 6.35443e+08  -6.35431e+08 0.00000e+00 
