3.15978e-05 1.01325e+02  -4.63371e-21 0.00000e+00 
6.31957e-05 2.53292e+03  -1.62112e+03 0.00000e+00 
9.47935e-05 1.98562e+04  -1.62095e+04 0.00000e+00 
1.26391e-04 9.11676e+04  -8.10393e+04 0.00000e+00 
1.57989e-04 3.06394e+05  -2.83608e+05 0.00000e+00 
1.89587e-04 8.38675e+05  -7.94022e+05 0.00000e+00 
2.21185e-04 1.98483e+06  -1.90546e+06 0.00000e+00 
2.52783e-04 4.21389e+06  -4.08270e+06 0.00000e+00 
2.84381e-04 8.22373e+06  -8.01877e+06 0.00000e+00 
3.15978e-04 1.50057e+07  -1.46996e+07 0.00000e+00 
3.47576e-04 2.59174e+07  -2.54766e+07 0.00000e+00 
3.79174e-04 4.27634e+07  -4.21479e+07 0.00000e+00 
4.10772e-04 6.78843e+07  -6.70466e+07 0.00000e+00 
4.42370e-04 1.04253e+08  -1.03138e+08 0.00000e+00 
4.73968e-04 1.55581e+08  -1.54125e+08 0.00000e+00 
5.05566e-04 2.26429e+08  -2.24558e+08 0.00000e+00 
5.37163e-04 3.22330e+08  -3.19963e+08 0.00000e+00 
5.68761e-04 4.49917e+08  -4.46961e+08 0.00000e+00 
6.00359e-04 6.17062e+08  -6.13413e+08 0.00000e+00 
6.31957e-04 8.33018e+08  -8.28561e+08 0.00000e+00 
6.63555e-04 1.10857e+09  -1.10318e+09 0.00000e+00 
6.95153e-04 1.45621e+09  -1.44975e+09 0.00000e+00 
7.26750e-04 1.89029e+09  -1.88259e+09 0.00000e+00 
7.58348e-04 2.42720e+09  -2.41810e+09 0.00000e+00 
7.89946e-04 3.08555e+09  -3.07488e+09 0.00000e+00 
8.21544e-04 3.88640e+09  -3.87396e+09 0.00000e+00 
8.53142e-04 4.85340e+09  -4.83897e+09 0.00000e+00 
8.84740e-04 6.01304e+09  -5.99640e+09 0.00000e+00 
9.16338e-04 7.39487e+09  -7.37577e+09 0.00000e+00 
9.47935e-04 9.03169e+09  -9.00986e+09 0.00000e+00 
9.79533e-04 1.09598e+10  -1.09350e+10 0.00000e+00 
1.01113e-03 1.32193e+10  -1.31912e+10 0.00000e+00 
1.04273e-03 1.58542e+10  -1.58225e+10 0.00000e+00 
1.07433e-03 1.89129e+10  -1.88772e+10 0.00000e+00 
1.10592e-03 2.24481e+10  -2.24080e+10 0.00000e+00 
1.13752e-03 2.65174e+10  -2.64727e+10 0.00000e+00 
1.16912e-03 3.11835e+10  -3.11337e+10 0.00000e+00 
1.20072e-03 3.65145e+10  -3.64592e+10 0.00000e+00 
1.23232e-03 4.25840e+10  -4.25227e+10 0.00000e+00 
1.26391e-03 4.94717e+10  -4.94039e+10 0.00000e+00 
1.29551e-03 5.72634e+10  -5.71887e+10 0.00000e+00 
1.32711e-03 6.60516e+10  -6.59694e+10 0.00000e+00 
1.35871e-03 7.59358e+10  -7.58456e+10 0.00000e+00 
1.39031e-03 8.70225e+10  -8.69238e+10 0.00000e+00 
1.42190e-03 9.94261e+10  -9.93182e+10 0.00000e+00 
1.45350e-03 1.13269e+11  -1.13151e+11 0.00000e+00 
1.48510e-03 1.28681e+11  -1.28553e+11 0.00000e+00 
1.51670e-03 1.45801e+11  -1.45662e+11 0.00000e+00 
1.54829e-03 1.64779e+11  -1.64628e+11 0.00000e+00 
1.57989e-03 1.85771e+11  -1.85607e+11 0.00000e+00 
1.61149e-03 2.08945e+11  -2.08768e+11 0.00000e+00 
1.64309e-03 2.34479e+11  -2.34287e+11 0.00000e+00 
1.67469e-03 2.62560e+11  -2.62354e+11 0.00000e+00 
1.70628e-03 2.93389e+11  -2.93167e+11 0.00000e+00 
1.73788e-03 3.27175e+11  -3.26937e+11 0.00000e+00 
1.76948e-03 3.64142e+11  -3.63886e+11 0.00000e+00 
1.80108e-03 4.04525e+11  -4.04250e+11 0.00000e+00 
1.83268e-03 4.48571e+11  -4.48277e+11 0.00000e+00 
1.86427e-03 4.96542e+11  -4.96227e+11 0.00000e+00 
1.89587e-03 5.48712e+11  -5.48375e+11 0.00000e+00 
1.92747e-03 6.05369e+11  -6.05010e+11 0.00000e+00 
1.95907e-03 6.66818e+11  -6.66434e+11 0.00000e+00 
1.99066e-03 7.33376e+11  -7.32968e+11 0.00000e+00 
2.02226e-03 8.05378e+11  -8.04944e+11 0.00000e+00 
2.05386e-03 8.83175e+11  -8.82713e+11 0.00000e+00 
2.08546e-03 9.67133e+11  -9.66642e+11 0.00000e+00 
2.11706e-03 1.05764e+12  -1.05711e+12 0.00000e+00 
2.14865e-03 1.15508e+12  -1.15453e+12 0.00000e+00 
2.18025e-03 1.25990e+12  -1.25932e+12 0.00000e+00 
2.21185e-03 1.37252e+12  -1.37190e+12 0.00000e+00 
2.24345e-03 1.49340e+12  -1.49275e+12 0.00000e+00 
2.27505e-03 1.62303e+12  -1.62234e+12 0.00000e+00 
2.30664e-03 1.76189e+12  -1.76116e+12 0.00000e+00 
2.33824e-03 1.91051e+12  -1.90974e+12 0.00000e+00 
2.36984e-03 2.06943e+12  -2.06861e+12 0.00000e+00 
2.40144e-03 2.23921e+12  -2.23835e+12 0.00000e+00 
2.43303e-03 2.42043e+12  -2.41952e+12 0.00000e+00 
2.46463e-03 2.61371e+12  -2.61275e+12 0.00000e+00 
2.49623e-03 2.81967e+12  -2.81867e+12 0.00000e+00 
2.52783e-03 3.03898e+12  -3.03792e+12 0.00000e+00 
2.55943e-03 3.27231e+12  -3.27120e+12 0.00000e+00 
2.59102e-03 3.52037e+12  -3.51921e+12 0.00000e+00 
2.62262e-03 3.78391e+12  -3.78269e+12 0.00000e+00 
2.65422e-03 4.06367e+12  -4.06239e+12 0.00000e+00 
2.68582e-03 4.36045e+12  -4.35911e+12 0.00000e+00 
2.71741e-03 4.67507e+12  -4.67366e+12 0.00000e+00 
2.74901e-03 5.00836e+12  -5.00690e+12 0.00000e+00 
2.78061e-03 5.36122e+12  -5.35968e+12 0.00000e+00 
2.81221e-03 5.73454e+12  -5.73293e+12 0.00000e+00 
2.84381e-03 6.12926e+12  -6.12758e+12 0.00000e+00 
2.87540e-03 6.54636e+12  -6.54460e+12 0.00000e+00 
2.90700e-03 6.98683e+12  -6.98500e+12 0.00000e+00 
2.93860e-03 7.45170e+12  -7.44979e+12 0.00000e+00 
2.97020e-03 7.94206e+12  -7.94006e+12 0.00000e+00 
3.00180e-03 8.45900e+12  -8.45692e+12 0.00000e+00 
3.03339e-03 9.00365e+12  -9.00149e+12 0.00000e+00 
3.06499e-03 9.57721e+12  -9.57495e+12 0.00000e+00 
3.09659e-03 1.01809e+13  -1.01785e+13 0.00000e+00 
3.12819e-03 1.08159e+13  -1.08134e+13 0.00000e+00 
3.15978e-03 1.14836e+13  -1.14810e+13 0.00000e+00 
3.19138e-03 1.21852e+13  -1.21825e+13 0.00000e+00 
3.22298e-03 1.29222e+13  -1.29194e+13 0.00000e+00 
3.25458e-03 1.36959e+13  -1.36930e+13 0.00000e+00 
3.28618e-03 1.45078e+13  -1.45049e+13 0.00000e+00 
3.31777e-03 1.53595e+13  -1.53564e+13 0.00000e+00 
3.34937e-03 1.62523e+13  -1.62491e+13 0.00000e+00 
3.38097e-03 1.71880e+13  -1.71846e+13 0.00000e+00 
3.41257e-03 1.81681e+13  -1.81646e+13 0.00000e+00 
3.44417e-03 1.91943e+13  -1.91907e+13 0.00000e+00 
3.47576e-03 2.02683e+13  -2.02645e+13 0.00000e+00 
3.50736e-03 2.13918e+13  -2.13880e+13 0.00000e+00 
3.53896e-03 2.25668e+13  -2.25628e+13 0.00000e+00 
3.57056e-03 2.37950e+13  -2.37909e+13 0.00000e+00 
3.60215e-03 2.50784e+13  -2.50742e+13 0.00000e+00 
3.63375e-03 2.64190e+13  -2.64145e+13 0.00000e+00 
3.66535e-03 2.78186e+13  -2.78140e+13 0.00000e+00 
3.69695e-03 2.92795e+13  -2.92747e+13 0.00000e+00 
3.72855e-03 3.08037e+13  -3.07988e+13 0.00000e+00 
3.76014e-03 3.23934e+13  -3.23883e+13 0.00000e+00 
3.79174e-03 3.40508e+13  -3.40455e+13 0.00000e+00 
3.82334e-03 3.57782e+13  -3.57728e+13 0.00000e+00 
3.85494e-03 3.75780e+13  -3.75724e+13 0.00000e+00 
3.88654e-03 3.94526e+13  -3.94468e+13 0.00000e+00 
3.91813e-03 4.14043e+13  -4.13983e+13 0.00000e+00 
3.94973e-03 4.34358e+13  -4.34297e+13 0.00000e+00 
3.98133e-03 4.55497e+13  -4.55433e+13 0.00000e+00 
4.01293e-03 4.77485e+13  -4.77419e+13 0.00000e+00 
4.04452e-03 5.00349e+13  -5.00281e+13 0.00000e+00 
4.07612e-03 5.24118e+13  -5.24048e+13 0.00000e+00 
4.10772e-03 5.48820e+13  -5.48748e+13 0.00000e+00 
4.13932e-03 5.74484e+13  -5.74409e+13 0.00000e+00 
4.17092e-03 6.01139e+13  -6.01062e+13 0.00000e+00 
4.20251e-03 6.28815e+13  -6.28736e+13 0.00000e+00 
4.23411e-03 6.57545e+13  -6.57464e+13 0.00000e+00 
4.26571e-03 6.87359e+13  -6.87275e+13 0.00000e+00 
4.29731e-03 7.18290e+13  -7.18204e+13 0.00000e+00 
4.32891e-03 7.50372e+13  -7.50283e+13 0.00000e+00 
4.36050e-03 7.83637e+13  -7.83546e+13 0.00000e+00 
4.39210e-03 8.18122e+13  -8.18028e+13 0.00000e+00 
4.42370e-03 8.53860e+13  -8.53764e+13 0.00000e+00 
4.45530e-03 8.90889e+13  -8.90790e+13 0.00000e+00 
4.48689e-03 9.29246e+13  -9.29143e+13 0.00000e+00 
4.51849e-03 9.68967e+13  -9.68862e+13 0.00000e+00 
4.55009e-03 1.01009e+14  -1.00998e+14 0.00000e+00 
4.58169e-03 1.05266e+14  -1.05255e+14 0.00000e+00 
4.61329e-03 1.09671e+14  -1.09660e+14 0.00000e+00 
4.64488e-03 1.14229e+14  -1.14217e+14 0.00000e+00 
4.67648e-03 1.18943e+14  -1.18931e+14 0.00000e+00 
4.70808e-03 1.23818e+14  -1.23805e+14 0.00000e+00 
4.73968e-03 1.28858e+14  -1.28845e+14 0.00000e+00 
4.77127e-03 1.34067e+14  -1.34054e+14 0.00000e+00 
4.80287e-03 1.39451e+14  -1.39438e+14 0.00000e+00 
4.83447e-03 1.45014e+14  -1.45000e+14 0.00000e+00 
4.86607e-03 1.50760e+14  -1.50746e+14 0.00000e+00 
4.89767e-03 1.56695e+14  -1.56680e+14 0.00000e+00 
4.92926e-03 1.62823e+14  -1.62808e+14 0.00000e+00 
4.96086e-03 1.69149e+14  -1.69133e+14 0.00000e+00 
4.99246e-03 1.75678e+14  -1.75662e+14 0.00000e+00 
5.02406e-03 1.82415e+14  -1.82399e+14 0.00000e+00 
5.05566e-03 1.89367e+14  -1.89350e+14 0.00000e+00 
5.08725e-03 1.96537e+14  -1.96520e+14 0.00000e+00 
5.11885e-03 2.03932e+14  -2.03915e+14 0.00000e+00 
5.15045e-03 2.11558e+14  -2.11540e+14 0.00000e+00 
5.18205e-03 2.19419e+14  -2.19401e+14 0.00000e+00 
5.21364e-03 2.27522e+14  -2.27503e+14 0.00000e+00 
5.24524e-03 2.35872e+14  -2.35853e+14 0.00000e+00 
5.27684e-03 2.44476e+14  -2.44457e+14 0.00000e+00 
5.30844e-03 2.53340e+14  -2.53320e+14 0.00000e+00 
5.34004e-03 2.62469e+14  -2.62449e+14 0.00000e+00 
5.37163e-03 2.71871e+14  -2.71850e+14 0.00000e+00 
5.40323e-03 2.81551e+14  -2.81530e+14 0.00000e+00 
5.43483e-03 2.91517e+14  -2.91495e+14 0.00000e+00 
5.46643e-03 3.01774e+14  -3.01752e+14 0.00000e+00 
5.49803e-03 3.12330e+14  -3.12307e+14 0.00000e+00 
5.52962e-03 3.23192e+14  -3.23169e+14 0.00000e+00 
5.56122e-03 3.34366e+14  -3.34342e+14 0.00000e+00 
5.59282e-03 3.45860e+14  -3.45836e+14 0.00000e+00 
5.62442e-03 3.57681e+14  -3.57656e+14 0.00000e+00 
5.65601e-03 3.69837e+14  -3.69811e+14 0.00000e+00 
5.68761e-03 3.82334e+14  -3.82308e+14 0.00000e+00 
5.71921e-03 3.95181e+14  -3.95154e+14 0.00000e+00 
5.75081e-03 4.08385e+14  -4.08357e+14 0.00000e+00 
5.78241e-03 4.21954e+14  -4.21926e+14 0.00000e+00 
5.81400e-03 4.35896e+14  -4.35868e+14 0.00000e+00 
5.84560e-03 4.50220e+14  -4.50191e+14 0.00000e+00 
5.87720e-03 4.64933e+14  -4.64903e+14 0.00000e+00 
5.90880e-03 4.80044e+14  -4.80014e+14 0.00000e+00 
5.94040e-03 4.95562e+14  -4.95531e+14 0.00000e+00 
5.97199e-03 5.11496e+14  -5.11464e+14 0.00000e+00 
6.00359e-03 5.27853e+14  -5.27820e+14 0.00000e+00 
6.03519e-03 5.44643e+14  -5.44610e+14 0.00000e+00 
6.06679e-03 5.61875e+14  -5.61842e+14 0.00000e+00 
6.09838e-03 5.79559e+14  -5.79525e+14 0.00000e+00 
6.12998e-03 5.97704e+14  -5.97669e+14 0.00000e+00 
6.16158e-03 6.16319e+14  -6.16283e+14 0.00000e+00 
6.19318e-03 6.35414e+14  -6.35377e+14 0.00000e+00 
6.22478e-03 6.54998e+14  -6.54961e+14 0.00000e+00 
6.25637e-03 6.75083e+14  -6.75045e+14 0.00000e+00 
6.28797e-03 6.95677e+14  -6.95638e+14 0.00000e+00 
6.31957e-03 7.16792e+14  -7.16752e+14 0.00000e+00 
