2.72331e-05 1.04307e-01  -2.80830e-21 0.00000e+00 
5.44663e-05 1.66891e+00  -1.25169e+00 0.00000e+00 
8.16994e-05 8.44888e+00  -7.51011e+00 0.00000e+00 
1.08933e-04 2.67026e+01  -2.50337e+01 0.00000e+00 
1.36166e-04 6.51919e+01  -6.25843e+01 0.00000e+00 
1.63399e-04 1.35182e+02  -1.31427e+02 0.00000e+00 
1.90632e-04 2.50441e+02  -2.45330e+02 0.00000e+00 
2.17865e-04 4.27242e+02  -4.20566e+02 0.00000e+00 
2.45098e-04 6.84359e+02  -6.75910e+02 0.00000e+00 
2.72331e-04 1.04307e+03  -1.03264e+03 0.00000e+00 
2.99564e-04 1.52716e+03  -1.51454e+03 0.00000e+00 
3.26798e-04 2.16291e+03  -2.14789e+03 0.00000e+00 
3.54031e-04 2.97912e+03  -2.96149e+03 0.00000e+00 
3.81264e-04 4.00706e+03  -3.98662e+03 0.00000e+00 
4.08497e-04 5.28055e+03  -5.25708e+03 0.00000e+00 
4.35730e-04 6.83587e+03  -6.80917e+03 0.00000e+00 
4.62963e-04 8.71183e+03  -8.68169e+03 0.00000e+00 
4.90196e-04 1.09497e+04  -1.09159e+04 0.00000e+00 
5.17429e-04 1.35934e+04  -1.35558e+04 0.00000e+00 
5.44663e-04 1.66891e+04  -1.66474e+04 0.00000e+00 
5.71896e-04 2.02858e+04  -2.02398e+04 0.00000e+00 
5.99129e-04 2.44346e+04  -2.43841e+04 0.00000e+00 
6.26362e-04 2.91894e+04  -2.91342e+04 0.00000e+00 
6.53595e-04 3.46066e+04  -3.45465e+04 0.00000e+00 
6.80828e-04 4.07450e+04  -4.06798e+04 0.00000e+00 
7.08061e-04 4.76659e+04  -4.75953e+04 0.00000e+00 
7.35294e-04 5.54331e+04  -5.53570e+04 0.00000e+00 
7.62528e-04 6.41130e+04  -6.40312e+04 0.00000e+00 
7.89761e-04 7.37744e+04  -7.36867e+04 0.00000e+00 
8.16994e-04 8.44888e+04  -8.43949e+04 0.00000e+00 
8.44227e-04 9.63298e+04  -9.62296e+04 0.00000e+00 
8.71460e-04 1.09374e+05  -1.09267e+05 0.00000e+00 
8.98693e-04 1.23700e+05  -1.23586e+05 0.00000e+00 
9.25926e-04 1.39389e+05  -1.39269e+05 0.00000e+00 
9.53159e-04 1.56526e+05  -1.56398e+05 0.00000e+00 
9.80393e-04 1.75196e+05  -1.75061e+05 0.00000e+00 
1.00763e-03 1.95488e+05  -1.95346e+05 0.00000e+00 
1.03486e-03 2.17495e+05  -2.17344e+05 0.00000e+00 
1.06209e-03 2.41308e+05  -2.41150e+05 0.00000e+00 
1.08933e-03 2.67026e+05  -2.66859e+05 0.00000e+00 
1.11656e-03 2.94747e+05  -2.94572e+05 0.00000e+00 
1.14379e-03 3.24572e+05  -3.24388e+05 0.00000e+00 
1.17102e-03 3.56605e+05  -3.56412e+05 0.00000e+00 
1.19826e-03 3.90953e+05  -3.90751e+05 0.00000e+00 
1.22549e-03 4.27724e+05  -4.27513e+05 0.00000e+00 
1.25272e-03 4.67031e+05  -4.66810e+05 0.00000e+00 
1.27996e-03 5.08986e+05  -5.08755e+05 0.00000e+00 
1.30719e-03 5.53706e+05  -5.53465e+05 0.00000e+00 
1.33442e-03 6.01310e+05  -6.01059e+05 0.00000e+00 
1.36166e-03 6.51920e+05  -6.51659e+05 0.00000e+00 
1.38889e-03 7.05659e+05  -7.05388e+05 0.00000e+00 
1.41612e-03 7.62654e+05  -7.62372e+05 0.00000e+00 
1.44336e-03 8.23034e+05  -8.22741e+05 0.00000e+00 
1.47059e-03 8.86930e+05  -8.86625e+05 0.00000e+00 
1.49782e-03 9.54476e+05  -9.54160e+05 0.00000e+00 
1.52506e-03 1.02581e+06  -1.02548e+06 0.00000e+00 
1.55229e-03 1.10107e+06  -1.10073e+06 0.00000e+00 
1.57952e-03 1.18039e+06  -1.18004e+06 0.00000e+00 
1.60675e-03 1.26393e+06  -1.26356e+06 0.00000e+00 
1.63399e-03 1.35182e+06  -1.35145e+06 0.00000e+00 
1.66122e-03 1.44422e+06  -1.44383e+06 0.00000e+00 
1.68845e-03 1.54128e+06  -1.54088e+06 0.00000e+00 
1.71569e-03 1.64315e+06  -1.64273e+06 0.00000e+00 
1.74292e-03 1.74998e+06  -1.74956e+06 0.00000e+00 
1.77015e-03 1.86195e+06  -1.86151e+06 0.00000e+00 
1.79739e-03 1.97920e+06  -1.97875e+06 0.00000e+00 
1.82462e-03 2.10191e+06  -2.10144e+06 0.00000e+00 
1.85185e-03 2.23023e+06  -2.22975e+06 0.00000e+00 
1.87909e-03 2.36434e+06  -2.36385e+06 0.00000e+00 
1.90632e-03 2.50442e+06  -2.50390e+06 0.00000e+00 
1.93355e-03 2.65062e+06  -2.65010e+06 0.00000e+00 
1.96079e-03 2.80314e+06  -2.80260e+06 0.00000e+00 
1.98802e-03 2.96214e+06  -2.96158e+06 0.00000e+00 
2.01525e-03 3.12782e+06  -3.12724e+06 0.00000e+00 
2.04248e-03 3.30034e+06  -3.29976e+06 0.00000e+00 
2.06972e-03 3.47991e+06  -3.47931e+06 0.00000e+00 
2.09695e-03 3.66672e+06  -3.66610e+06 0.00000e+00 
2.12418e-03 3.86094e+06  -3.86030e+06 0.00000e+00 
