7.89937e-06 2.35382e-03  5.34786e-13 0.00000e+00 
1.57987e-05 5.88452e-02  -3.76610e-02 0.00000e+00 
2.36981e-05 4.61344e-01  -3.76608e-01 0.00000e+00 
3.15975e-05 2.11840e+00  -1.88303e+00 0.00000e+00 
3.94968e-05 7.12015e+00  -6.59056e+00 0.00000e+00 
4.73962e-05 1.94914e+01  -1.84534e+01 0.00000e+00 
5.52956e-05 4.61333e+01  -4.42880e+01 0.00000e+00 
6.31949e-05 9.79527e+01  -9.49023e+01 0.00000e+00 
7.10943e-05 1.91180e+02  -1.86414e+02 0.00000e+00 
7.89937e-05 3.48877e+02  -3.41757e+02 0.00000e+00 
8.68930e-05 6.02628e+02  -5.92376e+02 0.00000e+00 
9.47924e-05 9.94426e+02  -9.80107e+02 0.00000e+00 
1.02692e-04 1.57874e+03  -1.55925e+03 0.00000e+00 
1.10591e-04 2.42478e+03  -2.39883e+03 0.00000e+00 
1.18491e-04 3.61894e+03  -3.58505e+03 0.00000e+00 
1.26390e-04 5.26743e+03  -5.22390e+03 0.00000e+00 
1.34289e-04 7.49911e+03  -7.44401e+03 0.00000e+00 
1.42189e-04 1.04685e+04  -1.03997e+04 0.00000e+00 
1.50088e-04 1.43589e+04  -1.42740e+04 0.00000e+00 
1.57987e-04 1.93860e+04  -1.92823e+04 0.00000e+00 
1.65887e-04 2.58013e+04  -2.56757e+04 0.00000e+00 
1.73786e-04 3.38956e+04  -3.37450e+04 0.00000e+00 
1.81685e-04 4.40037e+04  -4.38244e+04 0.00000e+00 
1.89585e-04 5.65077e+04  -5.62959e+04 0.00000e+00 
1.97484e-04 7.18418e+04  -7.15932e+04 0.00000e+00 
2.05384e-04 9.04969e+04  -9.02069e+04 0.00000e+00 
2.13283e-04 1.13025e+05  -1.12689e+05 0.00000e+00 
2.21182e-04 1.40044e+05  -1.39656e+05 0.00000e+00 
2.29082e-04 1.72243e+05  -1.71798e+05 0.00000e+00 
2.36981e-04 2.10389e+05  -2.09880e+05 0.00000e+00 
2.44880e-04 2.55328e+05  -2.54750e+05 0.00000e+00 
2.52780e-04 3.07997e+05  -3.07341e+05 0.00000e+00 
2.60679e-04 3.69424e+05  -3.68683e+05 0.00000e+00 
2.68578e-04 4.40737e+05  -4.39904e+05 0.00000e+00 
2.76478e-04 5.23169e+05  -5.22235e+05 0.00000e+00 
2.84377e-04 6.18068e+05  -6.17024e+05 0.00000e+00 
2.92277e-04 7.26897e+05  -7.25734e+05 0.00000e+00 
3.00176e-04 8.51245e+05  -8.49953e+05 0.00000e+00 
3.08075e-04 9.92836e+05  -9.91405e+05 0.00000e+00 
3.15975e-04 1.15353e+06  -1.15195e+06 0.00000e+00 
3.23874e-04 1.33534e+06  -1.33360e+06 0.00000e+00 
3.31773e-04 1.54042e+06  -1.53850e+06 0.00000e+00 
3.39673e-04 1.77111e+06  -1.76900e+06 0.00000e+00 
3.47572e-04 2.02989e+06  -2.02758e+06 0.00000e+00 
3.55472e-04 2.31944e+06  -2.31692e+06 0.00000e+00 
3.63371e-04 2.64261e+06  -2.63986e+06 0.00000e+00 
3.71270e-04 3.00247e+06  -2.99948e+06 0.00000e+00 
3.79170e-04 3.40227e+06  -3.39902e+06 0.00000e+00 
3.87069e-04 3.84549e+06  -3.84196e+06 0.00000e+00 
3.94968e-04 4.33580e+06  -4.33198e+06 0.00000e+00 
4.02868e-04 4.87714e+06  -4.87300e+06 0.00000e+00 
4.10767e-04 5.47366e+06  -5.46919e+06 0.00000e+00 
