3.15978e-05 1.01344e+00  -4.32480e-20 0.00000e+00 
6.31957e-05 2.53358e+01  -1.62149e+01 0.00000e+00 
9.47935e-05 1.98630e+02  -1.62148e+02 0.00000e+00 
1.26391e-04 9.12070e+02  -8.10730e+02 0.00000e+00 
1.57989e-04 3.06554e+03  -2.83753e+03 0.00000e+00 
1.89587e-04 8.39189e+03  -7.94499e+03 0.00000e+00 
2.21185e-04 1.98623e+04  -1.90678e+04 0.00000e+00 
2.52783e-04 4.21724e+04  -4.08591e+04 0.00000e+00 
2.84381e-04 8.23101e+04  -8.02581e+04 0.00000e+00 
3.15978e-04 1.50204e+05  -1.47138e+05 0.00000e+00 
3.47576e-04 2.59451e+05  -2.55037e+05 0.00000e+00 
3.79174e-04 4.28131e+05  -4.21967e+05 0.00000e+00 
4.10772e-04 6.79694e+05  -6.71303e+05 0.00000e+00 
4.42370e-04 1.04394e+06  -1.03276e+06 0.00000e+00 
4.73968e-04 1.55805e+06  -1.54346e+06 0.00000e+00 
5.05566e-04 2.26775e+06  -2.24901e+06 0.00000e+00 
5.37163e-04 3.22853e+06  -3.20481e+06 0.00000e+00 
5.68761e-04 4.50689e+06  -4.47726e+06 0.00000e+00 
6.00359e-04 6.18177e+06  -6.14520e+06 0.00000e+00 
6.31957e-04 8.34600e+06  -8.30132e+06 0.00000e+00 
6.63555e-04 1.11078e+07  -1.10538e+07 0.00000e+00 
6.95153e-04 1.45925e+07  -1.45276e+07 0.00000e+00 
7.26750e-04 1.89440e+07  -1.88669e+07 0.00000e+00 
7.58348e-04 2.43270e+07  -2.42358e+07 0.00000e+00 
7.89946e-04 3.09284e+07  -3.08214e+07 0.00000e+00 
8.21544e-04 3.89593e+07  -3.88345e+07 0.00000e+00 
8.53142e-04 4.86575e+07  -4.85128e+07 0.00000e+00 
8.84740e-04 6.02890e+07  -6.01220e+07 0.00000e+00 
9.16338e-04 7.41506e+07  -7.39589e+07 0.00000e+00 
9.47935e-04 9.05718e+07  -9.03528e+07 0.00000e+00 
9.79533e-04 1.09918e+08  -1.09668e+08 0.00000e+00 
1.01113e-03 1.32591e+08  -1.32308e+08 0.00000e+00 
1.04273e-03 1.59034e+08  -1.58715e+08 0.00000e+00 
1.07433e-03 1.89733e+08  -1.89374e+08 0.00000e+00 
1.10592e-03 2.25218e+08  -2.24816e+08 0.00000e+00 
1.13752e-03 2.66069e+08  -2.65620e+08 0.00000e+00 
1.16912e-03 3.12917e+08  -3.12417e+08 0.00000e+00 
1.20072e-03 3.66446e+08  -3.65890e+08 0.00000e+00 
1.23232e-03 4.27396e+08  -4.26780e+08 0.00000e+00 
1.26391e-03 4.96570e+08  -4.95889e+08 0.00000e+00 
1.29551e-03 5.74832e+08  -5.74081e+08 0.00000e+00 
1.32711e-03 6.63113e+08  -6.62287e+08 0.00000e+00 
1.35871e-03 7.62413e+08  -7.61507e+08 0.00000e+00 
1.39031e-03 8.73807e+08  -8.72814e+08 0.00000e+00 
1.42190e-03 9.98445e+08  -9.97360e+08 0.00000e+00 
1.45350e-03 1.13756e+09  -1.13637e+09 0.00000e+00 
1.48510e-03 1.29246e+09  -1.29117e+09 0.00000e+00 
1.51670e-03 1.46455e+09  -1.46315e+09 0.00000e+00 
1.54829e-03 1.65533e+09  -1.65381e+09 0.00000e+00 
1.57989e-03 1.86639e+09  -1.86474e+09 0.00000e+00 
1.61149e-03 2.09940e+09  -2.09762e+09 0.00000e+00 
1.64309e-03 2.35617e+09  -2.35425e+09 0.00000e+00 
1.67469e-03 2.63859e+09  -2.63652e+09 0.00000e+00 
1.70628e-03 2.94867e+09  -2.94644e+09 0.00000e+00 
1.73788e-03 3.28854e+09  -3.28614e+09 0.00000e+00 
1.76948e-03 3.66045e+09  -3.65787e+09 0.00000e+00 
1.80108e-03 4.06676e+09  -4.06399e+09 0.00000e+00 
